Unnamed: 0,uid,speakerid,replyid,utterance,offensive,target
671,1.0,鹿宝最近很忙,忘忧小绿草,追尾后前车断开,0.0,0.0
657,3.0,HJR656,做这个有良心的好人,上次女孩被狗咬不也一堆人搁这造谣传谣么,0.0,0.0
749,6.0,是我多绿了_,最爱言不由衷呀,是你爹写的？,1.0,1.0
759,8.0,路心推文扫文,三公司的二流子,向天再借五百年,0.0,0.0
677,11.0,怡情爱怡然,WhatIf9,还是您会扣帽子啊,1.0,1.0
674,1.0,一生唯爱依,伝伝里,恐怖分子,0.0,0.0
537,7.0,2844981958,0,给你tm一巴掌看你还发不发癫,1.0,1.0
557,3.0,2359665538,3858652412,喜欢犯剪祝你全假都被这样犯,1.0,1.0
570,9.0,岭南道按察使汉青书,D彡彭漂亮,这也需要业务员的操作吧,0.0,0.0
622,1.0,Damn-D,图160M2-79,这个好,1.0,2.0
585,2.0,盐汁尤梨H,圆滚滚毛茸茸团子,所以呢，你的捐款截图？,0.0,0.0
543,3.0,3523150369,5503681242,那你更该死了 挂的好,1.0,1.0
602,4.0,咕咕咕---123,我是来微博买东西的,《旅馆业治安管理办法》第八条规定，旅馆对旅客遗留的物品，应当妥为保管，设法归还原主或揭示招领;经招领3个月后无人认领的，要登记造册，送当地公安机关以拾遗物品处理。对违禁物品和可疑物品，应当及时报告公安机关处理。 她也需要出示这个物品的发票来证明这个东西价值,0.0,0.0
616,24.0,今天也是一个小垃圾,3988702097_272,少在这放p,1.0,1.0
648,15.0,stardn_1,避世隐居修改昵称,想问问虽然不会真的拘留，但是行政拘留会留档的吧？,0.0,0.0
757,20.0,金叶辰,yujieqiong,国内得60年,0.0,0.0
509,0.0,4278945617,-1,毕竟我也不是铁石心肠的人,0.0,0.0
678,5.0,幻想得偿所愿,穿条纹睡衣的鱼,成都省，四川市,0.0,0.0
582,0.0,大包王中王,-1,200万一个月利息就小一万了,0.0,0.0
644,7.0,闭嘴吧你收声,Bettysjing,你去大街上给四岁小孩摸呗 你不会是恋童癖吧,1.0,1.0
738,12.0,疾风踏浪E潜行,杰诺瓦3,脑子有问题吧？,1.0,1.0
607,9.0,苏小洋考研版,印第安老斑鸠Plus,留院很难吗？我看我朋友在的那家医院一般都是要本院规培的（研究生的本校直属医院）其他学校的除非很厉害  不然都不会考虑,0.0,0.0
674,5.0,一锤四个小朋友,伝伝里,无能狂怒哈哈哈,1.0,1.0
727,7.0,速冻不爱说话桃子,浪小花和向小黄,我们宁愿待业也不去儿科,0.0,0.0
720,1.0,日富一日的小韭jsh,弘历叻,子弟兵永远是我们坚强的护盾,0.0,0.0
551,0.0,4966714978,-1,👻男别急，今天我就去跟踪倪麻麻去,1.0,1.0
731,9.0,天域禁止撒由那拉,S大S石S,和性别无关但是犯罪率九成你不会以为这世界上所有的犯罪行为都需要体力吧你抛开暴力犯罪再看看犯罪率呢,0.0,0.0
529,8.0,5274759106,5268612859,破双非能有啥，很多985实验条件也不是都尽如人意,0.0,0.0
607,2.0,苏小洋考研版,这里是奥利奥小饼干,为什么我认识的都是三甲医院规培  研究生  不知道毕业了会不会留在本院,0.0,0.0
706,8.0,L小鱼在乎,神农架山人肆,不是特权阶级，至少是很能发声的人。,0.0,0.0
622,0.0,图160M2-79,-1,既然这样了，被害者家长给每个施暴者的全家做个详细的计划，谁特么也别想跑！,1.0,2.0
666,4.0,Abby灬花离离oO,溪雲主人,原来，我先看到断裂的图片，还以为车身自己断裂后面刷到追尾，这么一看就是追尾造成的断裂,0.0,0.0
713,8.0,china海洋大学,De-cK,没有，你第一次说的是全责,0.0,0.0
615,0.0,李在赣神魔丶,-1,你为啥去主动摸呢？孩子家长在哪里,0.0,0.0
529,4.0,5274759106,5268612859,不是你看她抖音自个儿写的实验室,0.0,0.0
575,7.0,叶月歌,Saint-Mira,这家人还真是靠可怜的小女孩发家致富了，代理律师说一堆都没提二百万募捐用不到的话会不会退,0.0,0.0
651,5.0,克梅修,杨小柒57,小编sm，搞这种热度,1.0,1.0
621,9.0,随笔者袁因-天海,25华同学,抓到也曝光不了，这时又要提到那部法律了,0.0,0.0
686,18.0,辛一Kun,She-and-their-world,广东xxn上大分,1.0,2.0
696,1.0,欲与君无言,王延国com,玩弄女性你觉得合理？那你也是出生一个,1.0,1.0
575,8.0,初级药剂师,李噶L,这事热度太高，目前她不敢动这个200万的，如果热度过去，就装进自己口袋了，现在全网盯着她，她根本不敢,0.0,0.0
649,11.0,香芋团子_高贵路人版,草粿甲豆花,你又何必慷他人之慨？,1.0,1.0
689,6.0,卜晓星,不明身份的武林萌丷,二鬼子 嘬嘬嘬 给你🦴吃,1.0,1.0
608,14.0,冰激凌刺身,汪行之陆,对对对，立马揭发肯德基麦当劳吉野家老娘舅，都是预制菜哦,0.0,0.0
605,15.0,狂封智力绝不挂科,九八年的红领巾,电气情况也差不多，大厂也难熬，我学长去了byd，一去一个不吱声，说加班加到死，只能说慢慢来吧，总有出路，起码饿不死,0.0,0.0
552,9.0,4141824644,3858652412,你该不会就是那个跟踪的人吧,1.0,1.0
729,11.0,Cat-猫老师,这是我们的鹿鹿,死刑现在很难了，就算女子死亡，这种作恶程度封顶死缓(非谋杀），积极赔偿取得受害人谅解很有可能只判无期,0.0,0.0
694,4.0,Shawn_Hank,父拔插头人踢狗,按他们的想法要改成别着玩具手枪才合理,0.0,0.0
573,6.0,天帝叶老黑,CforikY_,退钱这个不应该自己去申请退吗？,0.0,0.0
697,0.0,不远万里23406,-1,发现一个有意思的事 评论里反对的人点进去大部分是男的,0.0,0.0
583,4.0,2005-11-23,西瓜-19200101,假的 警察都辟谣了 这人还乱说,0.0,0.0
596,11.0,卡哇伊姨姨,云萧萧0708,十年前就有保管这事了,0.0,0.0
580,2.0,da宝贝xx,陈同学yc,而且还是在物业预交的那十来万完全没用完的情况下就开始筹了，非常无语,0.0,0.0
729,4.0,这是我们的鹿鹿,chengzi橙子橘子,就看法院怎么定性了，也可以说是故意杀人未遂，也可以说是故意伤害致人重伤，反正横竖都能说得过去。,0.0,0.0
523,4.0,2394346445,0,上过实验室安全吗，查的严的下身必须长裤到脚踝下，外面那件扣子都不能开,0.0,0.0
576,3.0,星陌然北,徃抑,反正我只想说，孩子妈，我是蝙蝠侠，你回去哥谭吧，我不打你了,1.0,1.0
547,1.0,2773677306,0,xxn还是个普信女捏,1.0,1.0
731,3.0,DOG王的猫生,二十颗铜钱草,社会上总有一些垃圾,0.0,0.0
708,2.0,一年乙班,林子青_zq,爱狗跟人性是两个相对立的点，所以爱狗人士不算人,1.0,2.0
615,13.0,Candiice333,墩墩作响,你上大街上摸女的还是天性呢 咬你算好的 应该打死你,1.0,1.0
663,0.0,雨橙,-1,102人骨折,0.0,0.0
742,7.0,等王泪,foa988,应该也算人最后的求生本能吧，一些想要自杀的人会打电话给心理咨询热线也是这个道理,0.0,0.0
582,11.0,大湾区小欢喜,小生活呀真呀嘛真好过,活期0.35%，200万一年利息7500，是一年，一年！你还一个月7500，你比银行还牛🐮,1.0,1.0
610,8.0,就该魔法打败魔法,Zw会飞的龙喵,日本牛奶还有兽药呢,0.0,0.0
675,9.0,罗孔佑200307,你看那里有鸽子哟,这不正好暴露她们极端利己主义的本质么,1.0,2.0
671,8.0,扭咕噜_蛋旦,忘忧小绿草,冲突吗，你是没上过学已经不是很好的解释了？,1.0,1.0
684,0.0,你今天你脚离地了吗,-1,印象中的四川人也不这样啊,0.0,0.0
746,3.0,桑_心事_526,许愿念诺,不难啊，我们认识一个事业小姑娘24岁转正，同年考到软考高级就聘了副高了。,0.0,0.0
727,10.0,给我留俩饼,浪小花和向小黄,儿科工资低还事多，遇到的情况比别的科室麻烦多了,0.0,0.0
615,9.0,樱井沐沐,今天也是一个小垃圾,咬了人就要负责 都说了是小孩了 他的狗咬了人就要给钱 路上别家的狗出来闻一下如果被咬了那个狗主人还不是要赔钱,0.0,0.0
564,4.0,132180658,0,冬天了，送可爱又能保暖的帽子,0.0,0.0
625,3.0,巴拉比卡,榕树少年,你三观让狗吃了,1.0,1.0
